post_id,url,post_date,post_type,is_urgent,seller_type,property_type,project_name,price,price_per_m2,area,area_used,floors,bedrooms,bathrooms,frontage,acces_road,house_direction,balcony_direction,floors_apartment,year_built,address_full,street,ward,district,city,legal_status,furniture_state,has_garage,has_pool,has_elevator,has_security,has_parking,management_fee,has_swimming_pool,has_gym,has_supermarket,building_density,crawled_at,source
45180795,https://batdongsan.com.vn/ban-can-ho-chung-cu-imperial-plaza-phuong-phuong-liet-tp-ha-noi/10-5-ty-chinh-chu-ban-4-ngu-360-giai-phong-dt-132m2-full-o-ep-so-o-san-pr45180795,25/02/2026,Tin thường,False,Anh Công,"10.5 tỷ. Chính chủ bán 4 ngủ Imperial Plaza - 360 Giải Phóng, DT: 132m2, full đồ đẹp, sổ đỏ sẵn",,10500.0,79.5455,132.0,,,4.0,3.0,,,,,,,"Hà Nội, Phương Liệt, Căn hộ chung cư tại Imperial Plaza",,Hà Nội,Phương Liệt,Căn hộ chung cư tại Imperial Plaza,,"Chủ nhà tự tay sắm sửa toàn bộ đồ cao cấp, đồng bộ, khách mua chỉ việc xách vali về ở.",False,False,False,False,False,,False,False,True,,2026-03-07 14:21:55,hn
45214618,https://batdongsan.com.vn/ban-nha-rieng-duong-dong-hoi-xa-dong-anh-tp-ha-noi/4pn-2wc-gia-cuc-chat-6-15-ty-5-1-m2-tai-ong-ong-noi-pr45214618,03/03/2026,Tin thường,False,Giáp Nguyễn,"Nhà riêng 4PN, 2WC, giá cực chất 6,15 tỷ, 51m2 tại Đông Hội, Đông Anh, Hà Nội",,6150.0,120.5882,51.0,,3.0,4.0,2.0,4.0,1.8,,,,,"Hà Nội, Đông Anh, Nhà riêng tại đường Đông Hội",,Hà Nội,Đông Anh,Nhà riêng tại đường Đông Hội,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,False,False,,False,False,True,,2026-03-07 14:22:04,hn
45214497,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-mai-phuong-hoang-mai-tp-ha-noi/hot-pho-ep-3-thoang-nong-thong-dan-xay-45m-x5t-gia-nhinh-7-ty-so-cc-co-tl-pr45214497,03/03/2026,Tin thường,False,Tú Nguyễn,"Hot! Phố Tân Mai nhà đẹp 3 thoáng nông thông dân xây 45m2 x 5T, giá nhỉnh 7 tỷ sổ CC có TL",,7200.0,160.0,45.0,,5.0,3.0,3.0,5.0,4.0,,,,,"Hà Nội, Hoàng Mai, Nhà riêng tại đường Tân Mai",,Hà Nội,Hoàng Mai,Nhà riêng tại đường Tân Mai,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,False,True,,False,False,True,,2026-03-07 14:22:16,hn
45106890,https://batdongsan.com.vn/ban-nha-rieng-duong-vu-trong-khanh-phuong-ha-dong-tp-ha-noi/ban-moi-kinh-kong-6tang-thang-may-o-to-vao-kinh-doanh-tot-sat-ho-guom-plaza-mo-lao-booyoung-pr45106890,03/03/2026,Tin thường,False,Bùi Trọng Quang,Bán nhà phố thang máy ô tô vào nhà kinh doanh tốt sát Hồ Gươm Plaza Vũ Trọng Khánh Mỗ Lao,,14500.0,402.7778,36.0,,5.0,4.0,4.0,3.6,6.0,,,,,"Hà Nội, Hà Đông, Nhà riêng tại đường Vũ Trọng Khánh",,Hà Nội,Hà Đông,Nhà riêng tại đường Vũ Trọng Khánh,Sổ đỏ/ Sổ hồng,Đầy đủ,True,False,True,False,False,,False,False,True,,2026-03-07 14:22:27,hn
44924537,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-khat-chan-phuong-vinh-tuy-tp-ha-noi/ban-moi-nhinh-11-ty-so-43m2-5-tang-thang-may-6-pn-ve-o-luon-pr44924537,03/03/2026,Tin thường,False,Trần Văn Lâm,"Bán nhà mới nhỉnh 11 tỷ, sổ 43m2, 5 tầng, thang máy, 6 PN về ở luôn.",,11900.0,276.7442,43.0,,5.0,6.0,6.0,,,,,,,"Hà Nội, Vĩnh Tuy, Nhà riêng tại đường Trần Khát Chân",,Hà Nội,Vĩnh Tuy,Nhà riêng tại đường Trần Khát Chân,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,True,False,False,,False,False,True,,2026-03-07 14:22:38,hn
43890553,https://batdongsan.com.vn/ban-nha-rieng-pho-lo-duc-phuong-hai-ba-trung-tp-ha-noi/chinh-chu-ban-tran-khat-chan-42m2-5-tang-moi-thang-may-gan-mat-gia-9-85-ty-pr43890553,23/02/2026,Tin thường,False,Chính Chủ,"Tôi bán nhà xây mới phố Lò Đúc. 42m2, 5 tầng thang máy, lô góc 2 mặt thoáng, 12.5 tỷ",,12500.0,297.619,42.0,,5.0,,,4.0,,,,,,"Hà Nội, Hai Bà Trưng, Nhà riêng tại phố Lò Đúc",,Hà Nội,Hai Bà Trưng,Nhà riêng tại phố Lò Đúc,Sổ đỏ/ Sổ hồng,,False,False,True,False,False,,False,False,True,,2026-03-07 14:22:49,hn
44719929,https://batdongsan.com.vn/ban-can-ho-chung-cu-chung-cu-ban-co-yeu-chinh-phu-phuong-yen-hoa-tp-ha-noi/chu-ch-dt-124m2-3pn-full-nt-dep-view-sdcc-gia-10-5-ty-o971350620-pr44719929,03/03/2026,Tin thường,False,Oanh Oanh,"Chính chủ bán CH Ban Cơ Yếu Chính Phủ DT 124m2 3PN full NT đẹp view hồ SĐCC giá 10,5 tỷ:0971 350 ***",,10500.0,84.6774,124.0,,,3.0,2.0,,,,Đông - Nam,,,"Hà Nội, Yên Hòa, Căn hộ chung cư tại Chung cư Ban cơ yếu Chính phủ",,Hà Nội,Yên Hòa,Căn hộ chung cư tại Chung cư Ban cơ yếu Chính phủ,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,False,False,,False,False,True,,2026-03-07 14:22:58,hn
45198229,https://batdongsan.com.vn/ban-dat-duong-co-ban-phuong-yen-nghia-tp-ha-noi/at-tho-cu-to-9-ong-mai-dt54m2-mt-4-5m-no-hau-oto-cach-20m-5-5-ty-ong-pr45198229,28/02/2026,Tin thường,False,Trần Đình Hà,"Đất thổ cư tổ 9 Đồng Mai, DT54m2, MT 4.5m, nở hậu, ôtô cách 20m, 5.5 tỷ Hà Đông",,5500.0,101.8519,54.0,,,,,4.5,,Nam,,,,"Hà Nội, Yên Nghĩa, Bán đất tại đường Cổ Bản",,Hà Nội,Yên Nghĩa,Bán đất tại đường Cổ Bản,Sổ đỏ/ Sổ hồng,,False,False,False,False,False,,False,False,True,,2026-03-07 14:23:10,hn
45216302,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-toa-nha-249a-thuy-khue-phuong-tay-ho-tp-ha-noi/sieu-pham-goc-145m-4-tang-nhin-thang-ra-125-ty-pr45216302,03/03/2026,Tin thường,False,Huy Hoàn,"Siêu phẩm biệt thự góc,145m,4 tầng,Thuỵ Khuê,Tây Hồ,nhìn thẳng ra Hồ Tây,125 tỷ",,125000.0,862.069,145.0,,4.0,,,25.0,20.0,,,,,"Hà Nội, Tây Hồ, Nhà biệt thự, liền kề tại Toà nhà 249A Thụy Khuê",,Hà Nội,Tây Hồ,"Nhà biệt thự, liền kề tại Toà nhà 249A Thụy Khuê",Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,True,False,,False,False,True,,2026-03-07 14:23:22,hn
43919138,https://batdongsan.com.vn/ban-can-ho-chung-cu-thap-doi-kepler-land-phuong-ha-dong-tp-ha-noi/ban-nhanh-3-phong-ngu-land-pr43919138,03/03/2026,Tin thường,False,Đỗ Thùy,Cần bán nhanh căn hộ 2 phòng ngủ + 1 phòng ngủ Kepler Land,,7950.0,96.9512,82.0,,,3.0,2.0,,,Tây - Nam,Đông - Bắc,,,"Hà Nội, Hà Đông, Căn hộ chung cư tại Tháp đôi Kepler Land",,Hà Nội,Hà Đông,Căn hộ chung cư tại Tháp đôi Kepler Land,,Bàn giao nội thất cao cấp.,False,False,False,False,False,,False,False,True,,2026-03-07 14:23:33,hn
45201101,https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-thuy-phuong-cau-giay-tp-ha-noi/ep-6-tang-thang-may-dien-tich-45m-gia-chao-12-t-pr45201101,28/02/2026,Tin thường,False,Đào Mạnh Hiếu,NHÀ ĐẸP XUÂN THUỶ 6 TẦNG THANG MÁY Diện tích: 45m Giá chào: 12 t,,12000.0,240.0,50.0,,6.0,5.0,5.0,4.6,3.0,Tây,Tây,,,"Hà Nội, Cầu Giấy, Nhà riêng tại đường Xuân Thủy",,Hà Nội,Cầu Giấy,Nhà riêng tại đường Xuân Thủy,Sổ đỏ/ Sổ hồng,,False,False,True,False,False,,False,False,True,,2026-03-07 14:23:45,hn
45087607,https://batdongsan.com.vn/ban-nha-rieng-duong-den-lu-phuong-tuong-mai-tp-ha-noi/chinh-chu-ban-khu-phan-lo-52m2-6-tang-thang-may-xay-moi-o-to-7-cho-vao-gia-19-3-ty-pr45087607,23/02/2026,Tin thường,False,Chính Chủ,"Tôi bán nhà khu phân lô Đền Lừ, 52m2 - 6T thang máy xây mới, ô tô 7 chỗ vào nhà, giá 19.3 tỷ",,19300.0,371.1538,52.0,,6.0,4.0,5.0,,,,,,,"Hà Nội, Tương Mai, Nhà riêng tại đường Đền Lừ",,Hà Nội,Tương Mai,Nhà riêng tại đường Đền Lừ,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,True,False,False,,False,False,True,,2026-03-07 14:23:57,hn
45214437,https://batdongsan.com.vn/ban-dat-xa-yen-bai-tp-ha-noi/chinh-chu-gui-ban-lo-at-hoa-hau-gia-xieu-re-nhat-thi-truong-tai-yeu-van-hoa-cu-pr45214437,03/03/2026,Tin thường,False,Phùng Văn Thịnh,Chính chủ gửi bán lô đất hoa hậu giá siêu rẻ nhất thị trường tại Yên Bài Văn Hòa cũ,,3700.0,5.5224,670.0,,,,,22.0,8.0,Tây,,,,"Hà Nội, Yên Bài, Bán đất tại xã Yên Bài",,Hà Nội,Yên Bài,Bán đất tại xã Yên Bài,Sổ đỏ/ Sổ hồng,,False,False,False,False,False,,False,False,True,,2026-03-07 14:24:09,hn
45214298,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-khu-do-thi-dang-xa-1-xa-gia-lam-tp-ha-noi/ban-sieu-vip-415m2-lo-goc-tai-ang-1-view-ep-5pn-full-that-ang-cap-5x-ty-pr45214298,03/03/2026,Tin thường,False,Bùi Công Thái,"Bán biệt thự siêu VIP 415m2, lô góc tại Đặng Xá 1, view đẹp, 5PN, full nội thất đẳng cấp giá 5x tỷ",,59000.0,142.1687,415.0,,3.0,5.0,6.0,20.0,20.0,,,,,"Hà Nội, Gia Lâm, Nhà biệt thự, liền kề tại Khu đô thị Đặng Xá 1",,Hà Nội,Gia Lâm,"Nhà biệt thự, liền kề tại Khu đô thị Đặng Xá 1",Sổ đỏ/ Sổ hồng,Cơ bản,False,True,False,False,False,,True,False,True,,2026-03-07 14:24:21,hn
45178417,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-van-khe-phuong-phu-luong-tp-ha-noi/4t-khu-tm-dt200m2-mt-10m-39-5-ty-ong-lh-0886743366-pr45178417,25/02/2026,Tin thường,False,Trần Đình Hà,"Biệt thự 4T, khu ĐTM Phú Lương, DT 200m2, MT 10m, 39.5 tỷ Hà Đông. LH0886 743 ***",,39500.0,197.5,200.0,,4.0,4.0,5.0,10.0,15.0,Tây,Tây,,,"Hà Nội, Phú Lương, Nhà biệt thự, liền kề tại đường Văn Khê",,Hà Nội,Phú Lương,"Nhà biệt thự, liền kề tại đường Văn Khê",Sổ đỏ/ Sổ hồng,Đầy đủ,True,False,False,False,False,,False,False,True,,2026-03-07 14:24:33,hn
44628287,https://batdongsan.com.vn/ban-dat-duong-tinh-lo-87a-xa-suoi-hai-tp-ha-noi/ban-mat-vi-tri-kinh-doanh-dac-dia-dt-296m-gia-duoi-20tr-m2-pr44628287,01/03/2026,Tin thường,False,Trần Anh Duy,"Bán đất mặt đường Tỉnh Lộ 87A vị trí kinh doanh đắc địa. DT 296m2, giá 19.6 triệu/m2.0963 699 ***",,5800.0,19.5946,296.0,,,,,7.0,30.0,,,,,"Hà Nội, Suối Hai, Bán đất tại đường Tỉnh Lộ 87A",,Hà Nội,Suối Hai,Bán đất tại đường Tỉnh Lộ 87A,Sổ đỏ/ Sổ hồng,,False,False,False,False,False,,False,False,True,,2026-03-07 14:24:46,hn
45178708,https://batdongsan.com.vn/ban-nha-rieng-pho-dai-la-phuong-bach-mai-tp-ha-noi/chinh-chu-ban-phan-lo-vov-ai-vong-50m2-6-tang-thang-may-via-he-rong-o-to-tranh-20-5-ty-pr45178708,25/02/2026,Tin thường,False,Chính Chủ,"Chính Chủ Bán Nhà Phân Lô VOV Đại La-Phố Vọng,50m2-6 Tầng Thang Máy,Vỉa Hè Rộng,Ô Tô Tránh-20.5 Tỷ",,20500.0,410.0,50.0,,,,,,7.0,,,,,"Hà Nội, Bạch Mai, Nhà riêng tại phố Đại La",,Hà Nội,Bạch Mai,Nhà riêng tại phố Đại La,Sổ đỏ/ Sổ hồng,,False,False,True,False,False,,False,False,True,,2026-03-07 14:24:57,hn
45216291,https://batdongsan.com.vn/ban-nha-rieng-duong-ho-tung-mau-phuong-phu-dien-tp-ha-noi/chu-can-tien-ban-gap-2-mat-thoang-5t-thoang-sach-ep-gan-pho-chao-8-5-ty-pr45216291,03/03/2026,Tin thường,False,Nguyễn Minh,Chủ cần tiền bán nhà gấp Hồ Tùng Mậu 2 mặt thoáng 5T thoáng sạch đẹp gần phố chào 8.5 tỷ,,8500.0,257.5758,33.0,,5.0,1.0,,4.0,,,,,,"Hà Nội, Phú Diễn, Nhà riêng tại đường Hồ Tùng Mậu",,Hà Nội,Phú Diễn,Nhà riêng tại đường Hồ Tùng Mậu,,Đầy đủ,False,False,False,False,False,,False,False,True,,2026-03-07 14:25:07,hn
45216315,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-khu-do-thi-moi-lideco-bac-quoc-lo-32-xa-hoai-duc-tp-ha-noi/can-ban-dt-336m-goc-2-thoang-mat-uong-31-m-kinh-doanh-gia-145tr-m-pr45216315,03/03/2026,Tin thường,False,Nguyễn Tiến Hưởng,"Cần bán biệt thự lideco , dt 336m lô góc 2 thoáng , mặt đường 31 m kinh doanh , giá 145tr/m",,48720.0,145.0,336.0,,5.0,9.0,6.0,,31.0,Tây - Nam,Tây - Nam,,,"Hà Nội, Hoài Đức, Nhà biệt thự, liền kề tại Khu đô thị mới Lideco - Bắc Quốc lộ 32",,Hà Nội,Hoài Đức,"Nhà biệt thự, liền kề tại Khu đô thị mới Lideco - Bắc Quốc lộ 32",Sổ đỏ/ Sổ hồng,,False,False,False,False,False,,False,False,True,,2026-03-07 14:25:19,hn
45216314,https://batdongsan.com.vn/ban-can-ho-chung-cu-udic-westlake-phuong-phu-thuong-tp-ha-noi/ban-goc-168-1m-3-mat-thoang-view-cau-nhat-tan-lottemall-tay-ho-pr45216314,03/03/2026,Tin thường,False,BĐS VƯƠNG ANH QUÂN,"BÁN CĂN GÓC 168,1m² 3 MẶT THOÁNG VIEW CẦU NHẬT TÂN & LOTTEMALL TÂY HỒ",,22000.0,130.8745,168.1,,,3.0,2.0,,,Đông - Nam,Đông - Nam,,,"Hà Nội, Phú Thượng, Căn hộ chung cư tại Udic Westlake",,Hà Nội,Phú Thượng,Căn hộ chung cư tại Udic Westlake,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,False,False,,False,False,True,,2026-03-07 14:25:30,hn
44828203,https://batdongsan.com.vn/ban-nha-rieng-duong-thuy-khue-phuong-ngoc-ha-tp-ha-noi/12-ty-ba-dinh-50m2-o-to-do-cua-chu-can-ban-gap-lo-goc-xay-ccmn-qua-dep-pr44828203,25/02/2026,Tin thường,False,Phạm Công Khanh,12 tỷ Ba Đình 50m2 - ô tô đỗ cửa - chủ cần bán gấp - lô góc - xây CCMN quá đẹp,,12200.0,244.0,50.0,,3.0,4.0,3.0,,6.0,,,,,"Hà Nội, Ngọc Hà, Nhà riêng tại đường Thụy Khuê",,Hà Nội,Ngọc Hà,Nhà riêng tại đường Thụy Khuê,Sổ đỏ/ Sổ hồng,Cơ bản,True,False,False,False,False,,False,False,True,,2026-03-07 14:25:49,hn
